,index,st_id,sale_time,subject,money
0,3,39,2020-02-26 06:25:35,math,2.9
1,0,35,2020-02-26 06:42:15,math,2.9
2,2,19,2020-02-26 06:58:55,math,2.9
3,1,15,2020-02-26 07:15:35,math,1.5
4,0,35,2020-02-26 07:32:15,math,1.5
5,5,30,2020-02-26 07:48:55,math,2.9
6,7,31,2020-02-26 08:05:35,math,1.5
7,7,31,2020-02-26 08:22:15,biology,0.5
8,0,35,2020-02-26 08:38:55,math,2.9
9,5,30,2020-02-26 08:55:35,math,3.0
10,1,15,2020-02-26 09:12:15,math,3.0
11,5,30,2020-02-26 09:28:55,math,0.7
12,4,2,2020-02-26 09:45:35,math,2.9
13,7,31,2020-02-26 10:02:15,math,0.5
14,1,15,2020-02-26 10:18:55,math,1.5
15,0,35,2020-02-26 10:35:35,math,3.0
16,8,3,2020-02-26 10:52:15,math,3.0
17,0,35,2020-02-26 11:08:55,math,1.5
18,6,14,2020-02-26 11:25:35,math,3.0
19,9,8,2020-02-26 11:42:15,math,2.9
20,6,14,2020-02-26 11:58:55,biology,0.5
21,6,14,2020-02-26 12:15:35,math,3.0
22,7,31,2020-02-26 12:32:15,math,1.5
23,8,3,2020-02-26 12:48:55,math,3.0
24,5,30,2020-02-26 13:05:35,math,2.9
25,8,3,2020-02-26 13:22:15,math,2.9
26,9,8,2020-02-26 13:38:55,math,1.5
27,3,39,2020-02-26 13:55:35,math,2.9
28,8,3,2020-02-26 14:12:15,math,0.7
29,4,2,2020-02-26 14:28:55,math,0.5
30,4,2,2020-02-26 14:45:35,math,0.7
31,8,3,2020-02-26 15:02:15,math,0.5
32,5,30,2020-02-26 15:18:55,math,0.5
33,2,19,2020-02-26 15:35:35,math,1.5
34,9,8,2020-02-26 15:52:15,biology,2.9
35,8,3,2020-02-26 16:08:55,math,1.5
36,7,31,2020-02-26 16:25:35,math,2.9
37,1,15,2020-02-26 16:42:15,math,0.7
38,1,15,2020-02-26 16:58:55,math,0.5
39,7,31,2020-02-26 17:15:35,math,3.0
40,2,19,2020-02-26 17:32:15,math,3.0
41,8,3,2020-02-26 17:48:55,math,3.0
42,0,35,2020-02-26 18:05:35,math,0.7
43,0,35,2020-02-26 18:22:15,math,0.5
44,7,31,2020-02-26 18:38:55,math,2.9
45,8,3,2020-02-26 18:55:35,math,2.9
46,6,14,2020-02-26 19:12:15,math,2.9
47,8,3,2020-02-26 19:28:55,biology,0.5
48,7,31,2020-02-26 19:45:35,math,0.5
49,5,30,2020-02-26 20:02:15,math,1.5
50,1,15,2020-02-26 20:18:55,math,0.7
51,8,3,2020-02-26 20:35:35,math,0.7
52,1,15,2020-02-26 20:52:15,math,0.7
53,6,14,2020-02-26 21:08:55,math,3.0
54,7,31,2020-02-26 21:25:35,math,0.5
55,2,19,2020-02-26 21:42:15,math,0.7
56,4,2,2020-02-26 21:58:55,math,2.9
57,7,31,2020-02-26 22:15:35,math,0.5
58,3,39,2020-02-26 22:32:15,math,2.9
59,6,14,2020-02-26 22:48:55,math,2.9
60,8,3,2020-02-26 23:05:35,math,3.0
61,0,35,2020-02-26 23:22:15,math,3.0
62,6,14,2020-02-26 23:38:55,math,0.5
63,2,19,2020-02-26 23:55:35,math,0.7
64,9,8,2020-02-27 00:12:15,biology,0.5
65,2,19,2020-02-27 00:28:55,math,1.5
66,5,30,2020-02-27 00:45:35,math,0.7
67,9,8,2020-02-27 01:02:15,math,0.7
68,5,30,2020-02-27 01:18:55,math,1.5
69,3,39,2020-02-27 01:35:35,math,3.0
70,9,8,2020-02-27 01:52:15,math,3.0
71,5,30,2020-02-27 02:08:55,math,2.9
72,2,19,2020-02-27 02:25:35,biology,0.5
73,4,2,2020-02-27 02:42:15,math,0.5
74,3,39,2020-02-27 02:58:55,math,3.0
75,4,2,2020-02-27 03:15:35,math,2.9
76,8,3,2020-02-27 03:32:15,math,0.5
77,1,15,2020-02-27 03:48:55,math,0.5
78,4,2,2020-02-27 04:05:35,math,0.7
79,4,2,2020-02-27 04:22:15,math,0.5
80,9,8,2020-02-27 04:38:55,math,1.5
81,5,30,2020-02-27 04:55:35,biology,1.5
82,4,2,2020-02-27 05:12:15,math,0.5
83,5,30,2020-02-27 05:28:55,math,2.9
84,1,15,2020-02-27 05:45:35,math,3.0
